PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 2 y 4,troccai_m,trotroealfaro3,R1AD24A,10.114.4.252,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,ptvlpmoro_m,ptvzarartesano1,R1AD24A,172.24.77.254,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,pvlmtortizc1,ptvzarartesano1,R1AD24A,172.24.77.254,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,pvlkojaramillor1,ptvzarartesano1,R1AD24A,172.24.77.254,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,pvlhogonzalezg1,ptvzarartesano1,R1AD24A,172.24.77.254,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,uiowaayal_m,uiosodconde2,R1AD24A,172.30.254.180,2/8,CAMBIADO
Home ADSL Mixto 1 y 2,uiojamoli_m,uiosodconde2,R1AD24A,172.30.254.180,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,uiojba1,uiosodconde2,R1AD24A,172.30.254.180,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,uiommparrap1,uiosodconde2,R1AD24A,172.30.254.180,2/14,CAMBIADO
Home ADSL Mixto 2 y 4,uiobdvallejor1,uiosodconde2,R1AD24A,172.30.254.180,2/9,CAMBIADO
Home ADSL Mixto 1 y 2,uiosgball_m,uionluaraucarias1,R1AD24A,172.30.249.101,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,uionfbaeza1,uionluaraucarias1,R1AD24A,172.30.249.101,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,uiodpastudillom1,uionluaraucarias1,R1AD24A,172.30.249.101,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,mandarold_m,mntaeralmendros1,R1AD24A,172.28.41.62,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,manbbvillacis_m,mntaeralmendros1,R1AD24A,172.28.41.62,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,manlmposliguav1,mntaeralmendros1,R1AD24A,172.28.41.62,2/18,CAMBIADO
